Course	Room	Teacher	Time	Students
007375	TH224	0820103	281	3600785 3651750 3821088 3789136 3796723 3691616 3699613 3651487 3816104 3612623 3667385 3692187 3818746 3581149 3645720 3693433 3712913 3728679 3774116 3797192 3817682 3820479 3578673 3668790 3668818 3668959 3669029 3669047 3797619 3797630 3797632 3797714 3797774 3797803 3910507 3910583 3910651 
007375	TH224	0820103	26	3600785 3651750 3821088 3789136 3796723 3691616 3699613 3651487 3816104 3612623 3667385 3692187 3818746 3581149 3645720 3693433 3712913 3728679 3774116 3797192 3817682 3820479 3578673 3668790 3668818 3668959 3669029 3669047 3797619 3797630 3797632 3797714 3797774 3797803 3910507 3910583 3910651 
015665	CARP15	3318436	245	3544262 3600785 3619323 3630915 3634695 3818686 3602435 3652373 3579143 3483036 3544254 3575769 3820958 
015665	CARP15	3318436	246	3544262 3600785 3619323 3630915 3634695 3818686 3602435 3652373 3579143 3483036 3544254 3575769 3820958 
006546	BYC100	0031478	278	3648970 3820378 3694798 3668820 3797760 
006546	BYC100	0031478	279	3648970 3820378 3694798 3668820 3797760 
015679	TH111	0247216	243	3689931 3397771 3692852 3995719 3581907 3693565 3694741 3519499 
015679	TH111	0247216	26	3689931 3397771 3692852 3995719 3581907 3693565 3694741 3519499 
006031	PK243	3839982	58	3914820 3768303 3678357 3929235 3930678 3930817 3769368 3790857 3796906 3819177 3822912 3848104 3905871 3929679 3668378 3691783 3759337 3914813 3819196 3820745 3904251 3692862 3816486 3823387 3602816 3821044 3821179 3930054 3821958 3930296 3956133 3613455 3930047 3695643 3901413 3905460 3930083 3578747 3649880 3651465 3710476 3788990 3817507 3821077 3821554 3824188 3846920 3850568 3929237 3929894 3847728 3904645 3929979 4093446 3908117 3360165 3797728 3910466 3910468 3910587 3910700 3910735 4086373 4093813 
006031	PK243	3839982	128	3914820 3768303 3678357 3929235 3930678 3930817 3769368 3790857 3796906 3819177 3822912 3848104 3905871 3929679 3668378 3691783 3759337 3914813 3819196 3820745 3904251 3692862 3816486 3823387 3602816 3821044 3821179 3930054 3821958 3930296 3956133 3613455 3930047 3695643 3901413 3905460 3930083 3578747 3649880 3651465 3710476 3788990 3817507 3821077 3821554 3824188 3846920 3850568 3929237 3929894 3847728 3904645 3929979 4093446 3908117 3360165 3797728 3910466 3910468 3910587 3910700 3910735 4086373 4093813 
